feature,importance,fold
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,230,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,53,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,201,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,83,1
ACTIVE_AMT_ANNUITY_MAX,71,1
ACTIVE_AMT_ANNUITY_MEAN,59,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,0,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,40,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,36,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,144,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,72,1
CLOSED_DAYS_CREDIT_MIN,151,1
CLOSED_DAYS_CREDIT_MAX,349,1
CLOSED_DAYS_CREDIT_MEAN,191,1
CLOSED_DAYS_CREDIT_VAR,272,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,136,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,352,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,182,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,226,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,148,1
CLOSED_AMT_CREDIT_SUM_MAX,176,1
CLOSED_AMT_CREDIT_SUM_MEAN,281,1
CLOSED_AMT_CREDIT_SUM_SUM,248,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,46,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,16,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,13,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,31,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,6,1
CLOSED_AMT_ANNUITY_MAX,82,1
CLOSED_AMT_ANNUITY_MEAN,57,1
CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
CLOSED_MONTHS_BALANCE_MIN_MIN,49,1
CLOSED_MONTHS_BALANCE_MAX_MAX,21,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,139,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,83,1
PREV_AMT_ANNUITY_MIN,196,1
PREV_AMT_ANNUITY_MAX,194,1
PREV_AMT_ANNUITY_MEAN,240,1
PREV_AMT_APPLICATION_MIN,72,1
PREV_AMT_APPLICATION_MAX,95,1
PREV_AMT_APPLICATION_MEAN,149,1
PREV_AMT_CREDIT_MIN,85,1
PREV_AMT_CREDIT_MAX,126,1
PREV_AMT_CREDIT_MEAN,196,1
PREV_APP_CREDIT_PERC_MIN,238,1
PREV_APP_CREDIT_PERC_MAX,118,1
PREV_APP_CREDIT_PERC_MEAN,208,1
PREV_APP_CREDIT_PERC_VAR,236,1
PREV_AMT_DOWN_PAYMENT_MIN,78,1
PREV_AMT_DOWN_PAYMENT_MAX,152,1
PREV_AMT_DOWN_PAYMENT_MEAN,142,1
PREV_AMT_GOODS_PRICE_MIN,121,1
PREV_AMT_GOODS_PRICE_MAX,34,1
PREV_AMT_GOODS_PRICE_MEAN,158,1
PREV_HOUR_APPR_PROCESS_START_MIN,62,1
PREV_HOUR_APPR_PROCESS_START_MAX,92,1
PREV_HOUR_APPR_PROCESS_START_MEAN,216,1
PREV_RATE_DOWN_PAYMENT_MIN,78,1
PREV_RATE_DOWN_PAYMENT_MAX,116,1
PREV_RATE_DOWN_PAYMENT_MEAN,138,1
PREV_DAYS_DECISION_MIN,170,1
PREV_DAYS_DECISION_MAX,228,1
PREV_DAYS_DECISION_MEAN,195,1
PREV_CNT_PAYMENT_MEAN,360,1
PREV_CNT_PAYMENT_SUM,135,1
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,91,1
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,36,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,32,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,115,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,183,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,135,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,94,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,141,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,124,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,104,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,10,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,2,1
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home___land_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,3,1
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,18,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,4,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasification___water_supply_MEAN,0,1
