feature,importance,fold
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,71,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,128,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,69,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,102,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,1,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,2,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home___land_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,5,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Gasification___water_supply_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,22,1
PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,7,1
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,24,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,15,1
PREV_NAME_CASH_LOAN_PURPOSE_Wedding___gift___holiday_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,6,1
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,59,1
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0,1
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,80,1
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,76,1
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,109,1
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,2,1
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,58,1
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0,1
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,9,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,99,1
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0,1
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0,1
PREV_CODE_REJECT_REASON_HC_MEAN,56,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,15,1
PREV_CODE_REJECT_REASON_SCO_MEAN,90,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,19,1
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,1
PREV_CODE_REJECT_REASON_VERIF_MEAN,9,1
PREV_CODE_REJECT_REASON_XAP_MEAN,52,1
PREV_CODE_REJECT_REASON_XNA_MEAN,4,1
PREV_CODE_REJECT_REASON_nan_MEAN,0,1
PREV_NAME_TYPE_SUITE_Children_MEAN,18,1
PREV_NAME_TYPE_SUITE_Family_MEAN,64,1
